username,comment,date
daieyunkdayangsuhana,"Performance:terbaik
Quality:terbaik

walaupun harga dia RM7 , tp fungsi dia terbaik, main tap2 ja kat earphone tu utk pick up call utk slow down the volume, utk kuatkan semula ... and both earphone ada function dia, cth klu tgok utube,u can easily change the vedio by tapping the earphone . takde manual, semua kena try and error sendiri. nak connect ke fon guna bluetooth ja.",2024-01-24 11:31:17
coffindoll,"Quality:good
Performance:work well

So far puas hati ng earbud nie.. Dri start smpi smpi la nie dh 3 hri x charge lgi. Hehehe... Bunyi pown okey. So far puas hati lah...",2024-03-07 12:42:15
a*****y,"Quality:10/10
Performance:9/10

Cantik dan fast delivery. Tapi tu la haha pakai kena duk elok elok. Kalo ko tengah baring then tibe tibe ko duk mengiring hmmm auto power off 🤣🤣🤣😭😭😭 sensitive mat sensor dia 👺👺👺 Tapi okay la sound baguss",2023-08-04 01:05:34
syeffiq,"Quality:Cantik
Performance:bunyi pun sgt okay

Bass padu 
Lantang dan sangat baik
Bateri pun okay dan jimat tidak cepat habis 
Boleh beli dan berbaloi sangat 
Warna dan jenama sama seperti dalam gambar",2023-10-03 15:44:18
ec3lkz7ftz,"Quality:tip-top
Performance:sangat2 bagus

Dah seminggu guna earphone ni , Harini baru sempat nk bgi feedback . Tapi so far sangat oke , tak menyesal beli 👍🏻 sound clear , bkn jenis earphone yg bunyi slow even volume tinggi . Puas hati sangat2,bateri pon tahan lama setakat ni bru charge 2kali , itu pon guna 4hari tggal 50% je 😃 . Review honest dri saya tq seller ♥️♥️",2023-11-11 20:33:51
k*****t,"Quality:ok
Performance:boleh la pakai

Item sampai dgn jayanya
Tanpa ada masalah dari segi penghantaran
Dibungkus dgn baik juga
Tiada kerosakkan fizikal didapati
Harga berpatutan
Ketahanan penggunaan lebih kurang 4jam utk mendengar muzik",2023-09-02 20:41:19
fabdmanan,"Performance:Good
Quality:Good

Satisfied. Good buy for the price paid.
Will repeat order for spare use.
Thank you seller.
Thank you shopee. Thank you delivery boy.
God Bless!",2023-11-24 21:47:03
r*****1,"Performance:Touching sensitivity and pairing is quite okay
Quality:Sound is normal with not much of bass.

I've bought this together with Lenovo LP40 pro from the same seller but the touching sensitivity of this Redmi airpods is slightly better. The pricing for this item is also way lower too (got it for RM8 plus only), hope it last.",2024-03-09 15:18:17
esthergina83,"Performance:Excellent
Quality:Good

First try already love it!best earbuds i've had at this moment,,the sound perfecto😍just took less than 1week to Sabah☺️the price is also cheap🫰go order guys,you will not regret it,,highly recommended",2024-01-26 15:05:12
h*****1,"Quality:Good
Performance:Great

I have received my order today. Thank you seller. It doesn't take long to receive though it's from overseas. I like the base sound and everything is fine. The sound is clear and really worth it  for the price I paid. Thanks again.",2023-09-13 17:03:51
jncl007,"Performance:Good
Quality:Good

Super fast delivery. Price is a true bargain!!! Quality is good and as far as the sound is concerned, it’s good. Highly recommended 👏🏻👏🏻",2023-12-16 13:05:37
aje_hur,"Performance:Sangat baik
Quality:Kualiti baik, sesuai dengan harganya

Walaupun harga murah tapi berfungsi dengan baik. Call pun org boleh dgr suara kita dgn baik. Berbaloi harap tahan lama la.",2024-03-03 12:04:03
mohdaz03,"Performance:terbaik
Quality:berkualiti

Barang sampai dgn selamat dan dibungkus dengan plastik
Tiada kerosakkan pada barang yang telah diterima
Barang dibungkus dengan kemas dan berkotak
Terima Kasih seller
Boleh beli lagi sekali dengan seller",2023-07-07 23:15:50
shy_person,"Quality:sangat sangat sangat Memuaskan

Aku dah lama cari earphone ni bunyi dia fuhhhh bersih bass kuat
Insyaallah nnti beli balik kat sni aku rasa nak beli 10 dah kalau cam ni HAHAHAH apa pun thanks you seller sangat sangat suka
Semoga berkah bisnes mu❤️❤️❤️❤️",2024-03-11 12:43:47
boynoharawata87,"Quality:qualiti dia biasa Seja tapi oklah dgn harga.
Performance:performance dia baik jugalah

Selama pakai sehari charge cepat abis tapi ok lah still boleh guna. Kalau boleh barang tu jual biarlah ikhlas jangan cincai2 Seja mentang2 barang murah.. Maaf Sya DPT bagi 3 star seja",2023-12-15 20:14:48
lorengrace,Barang sampai dalam keadaan baik semuanya bagus.. sound nye okla nak kata bass kuat blh je.. asal ada suara.. beli utk anak.. anak suka.. 👍,2023-10-19 12:35:55
fabdmanan,"Performance:Good
Quality:Good

Satisfied. Good buy for the price paid.
Will repeat order for spare use.
Thank you seller.
Thank you shopee. Thank you delivery boy.
God Bless!",2023-11-24 21:47:03
r*****1,"Performance:Touching sensitivity and pairing is quite okay
Quality:Sound is normal with not much of bass.

I've bought this together with Lenovo LP40 pro from the same seller but the touching sensitivity of this Redmi airpods is slightly better. The pricing for this item is also way lower too (got it for RM8 plus only), hope it last.",2024-03-09 15:18:17
esthergina83,"Performance:Excellent
Quality:Good

First try already love it!best earbuds i've had at this moment,,the sound perfecto😍just took less than 1week to Sabah☺️the price is also cheap🫰go order guys,you will not regret it,,highly recommended",2024-01-26 15:05:12
h*****1,"Quality:Good
Performance:Great

I have received my order today. Thank you seller. It doesn't take long to receive though it's from overseas. I like the base sound and everything is fine. The sound is clear and really worth it  for the price I paid. Thanks again.",2023-09-13 17:03:51
jncl007,"Performance:Good
Quality:Good

Super fast delivery. Price is a true bargain!!! Quality is good and as far as the sound is concerned, it’s good. Highly recommended 👏🏻👏🏻",2023-12-16 13:05:37
aje_hur,"Performance:Sangat baik
Quality:Kualiti baik, sesuai dengan harganya

Walaupun harga murah tapi berfungsi dengan baik. Call pun org boleh dgr suara kita dgn baik. Berbaloi harap tahan lama la.",2024-03-03 12:04:03
mohdaz03,"Performance:terbaik
Quality:berkualiti

Barang sampai dgn selamat dan dibungkus dengan plastik
Tiada kerosakkan pada barang yang telah diterima
Barang dibungkus dengan kemas dan berkotak
Terima Kasih seller
Boleh beli lagi sekali dengan seller",2023-07-07 23:15:50
shy_person,"Quality:sangat sangat sangat Memuaskan

Aku dah lama cari earphone ni bunyi dia fuhhhh bersih bass kuat
Insyaallah nnti beli balik kat sni aku rasa nak beli 10 dah kalau cam ni HAHAHAH apa pun thanks you seller sangat sangat suka
Semoga berkah bisnes mu❤️❤️❤️❤️",2024-03-11 12:43:47
